run IMDB with vanilla postgres
1: time consumption: 218405.492000 ms
2: time consumption: 219463.186000 ms
0: time consumption: 19010.506000 ms
1: time consumption: 19142.753000 ms
2: time consumption: 21011.783000 ms
0: time consumption: 997814.265000 ms
1: time consumption: 6972.844000 ms
2: time consumption: 3364.344000 ms
0: time consumption: 573999.870000 ms
1: time consumption: 563143.772000 ms
2: time consumption: 565064.996000 ms
0: time consumption: 70755.762000 ms
1: time consumption: 39986.873000 ms
2: time consumption: 41331.730000 ms
0: time consumption: 257931.915000 ms
1: time consumption: 262845.033000 ms
2: time consumption: 257879.395000 ms
0: time consumption: 714400.854000 ms
1: time consumption: 705411.678000 ms
2: time consumption: 703455.570000 ms
0: time consumption: 953326.194000 ms
1: time consumption: 952070.995000 ms
2: time consumption: 947023.690000 ms
0: time consumption: 588046.458000 ms
1: time consumption: 592331.475000 ms
2: time consumption: 592183.203000 ms
0: time consumption: 64899.749000 ms
1: time consumption: 53964.833000 ms
2: time consumption: 29022.495000 ms
0: time consumption: 689516.559000 ms
1: time consumption: 681487.859000 ms
2: time consumption: 667806.715000 ms
0: time consumption: 665517.813000 ms
1: time consumption: 659112.115000 ms
2: time consumption: 659819.364000 ms
0: time consumption: 649792.131000 ms
1: time consumption: 650175.791000 ms
2: time consumption: 650127.700000 ms
0: time consumption: 788368.232000 ms
1: time consumption: 798341.495000 ms
2: time consumption: 801917.766000 ms
0: time consumption: 525016.139000 ms
1: time consumption: 494745.713000 ms
2: time consumption: 515511.601000 ms
0: time consumption: 497072.713000 ms
1: time consumption: 474596.372000 ms
2: time consumption: 470263.364000 ms
0: time consumption: 534252.428000 ms
1: time consumption: 532817.287000 ms
2: time consumption: 528894.339000 ms
0: time consumption: 962708.782000 ms
1: time consumption: 949889.060000 ms
2: time consumption: 963044.474000 ms
0: time consumption: 735967.446000 ms
1: time consumption: 766857.675000 ms
2: time consumption: 757358.445000 ms
0: time consumption: 921674.439000 ms
1: time consumption: 888296.247000 ms
2: time consumption: 923024.034000 ms
0: time consumption: 295744.602000 ms
1: time consumption: 292462.128000 ms
2: time consumption: 292931.412000 ms
0: time consumption: 330855.308000 ms
